mode,task,preflight_pass,pytest_pass,steps,intervention_count,elapsed_seconds,recorded_at
baseline,silu,false,not_run,6,4,1200,2026-06-08 18:22
baseline,add,false,not_run,6,4,1200,2026-06-08 18:22
baseline,gelu,false,not_run,6,4,1200,2026-06-08 18:22
baseline,relu,false,not_run,6,4,1200,2026-06-08 18:22
baseline,mul,false,not_run,6,4,1200,2026-06-08 18:22
treatment,silu,true,true,1,0,7,2026-06-08 18:23
treatment,add,true,true,1,0,7,2026-06-08 18:23
treatment,gelu,true,true,1,0,7,2026-06-08 18:23
treatment,relu,true,true,1,0,7,2026-06-08 18:23
treatment,mul,true,true,1,0,7,2026-06-08 18:23
